strategy,top_n,total_picks,trading_days,average_trade_return,median_trade_return,win_rate,average_daily_portfolio_return,median_daily_portfolio_return,daily_return_std,best_daily_return,worst_daily_return
Stock vs Sector Rank,5,910,182,0.9113516483516483,0.45,0.5340659340659341,0.9113516483516486,0.743,6.5198583245184745,26.422000000000004,-17.012
Relative Strength Rank,5,910,182,0.7536373626373626,0.22,0.5241758241758242,0.7536373626373628,0.193,7.196325254714033,27.792,-17.012
Stock vs Sector Rank,10,1820,182,0.742379120879121,0.215,0.5164835164835165,0.7423791208791207,0.27800000000000014,4.809664079447827,17.012999999999998,-14.55
20D Momentum Rank,5,910,182,0.7034615384615385,0.195,0.5208791208791209,0.7034615384615386,-0.28500000000000014,7.207099479879349,27.792,-17.012
ML Logistic Probability,5,910,182,0.6945274725274725,0.035,0.5054945054945055,0.6945274725274725,0.13799999999999987,4.305725042327374,29.454,-8.39
Stock vs Sector Rank,20,3640,182,0.6837637362637363,0.36,0.5285714285714286,0.6837637362637361,0.48249999999999993,3.75864680145996,11.421000000000001,-11.2035
20D Momentum Rank,10,1820,182,0.6353736263736265,0.14,0.5115384615384615,0.6353736263736263,0.08000000000000004,5.345016467884128,18.609,-14.55
ML Logistic Probability,10,1820,182,0.6262142857142857,0.155,0.521978021978022,0.6262142857142856,0.05249999999999997,3.3328568806621615,16.057,-9.161
Relative Strength Rank,10,1820,182,0.6150659340659341,0.11499999999999999,0.5098901098901099,0.6150659340659339,-0.0335,5.338077468190412,18.609,-14.55
Relative Strength Rank,20,3640,182,0.5721510989010989,0.26,0.5241758241758242,0.5721510989010987,0.41275000000000006,4.076860396664793,11.314,-14.5995
20D Momentum Rank,20,3640,182,0.5688681318681318,0.28,0.5247252747252747,0.5688681318681318,0.39500000000000013,4.0772912325058925,11.314,-14.5995
20D Momentum Rank,50,9052,182,0.5709268669907203,0.3,0.5309323906319046,0.5649209369577791,0.5812,2.8560542535944133,9.656799999999999,-11.345999999999998
Relative Strength Rank,50,9052,182,0.5622646928855503,0.3,0.530159080866107,0.5563044534412956,0.5973999999999999,2.8543284137222287,9.656799999999999,-11.345999999999998
Current Pre Score,20,3640,182,0.5173214285714286,0.23,0.5239010989010989,0.5173214285714285,0.33674999999999994,3.50233677986477,10.647,-13.465
Current Pre Score,50,9052,182,0.44476579761378693,0.24,0.5254087494476359,0.43942533256217464,0.3291,2.4606547921503936,7.4312000000000005,-10.8542
ML Logistic Probability,20,3640,182,0.43225549450549444,0.13,0.521978021978022,0.43225549450549444,0.3575,2.4114672362118537,9.55,-8.8435
Volume Ratio Rank,20,3640,182,0.42696153846153845,0.23,0.5241758241758242,0.42696153846153845,0.2172500000000001,2.726808612363048,11.315000000000001,-7.623
Volume Ratio Rank,50,9052,182,0.41473707467962884,0.22,0.5271763146266019,0.409555002891845,0.1994,2.1176362891370313,8.149,-4.7718
Current Pre Score,10,1820,182,0.40498351648351644,0.21,0.5214285714285715,0.40498351648351644,0.36,4.2517506390855475,14.021,-12.045
Stock vs Sector Rank,50,9052,182,0.3965410958904109,0.16,0.5157976137870084,0.3914550028918451,0.10650000000000001,2.449028461385878,6.3042,-8.501
Current Pre Score,5,910,182,0.3860549450549449,0.21,0.5197802197802198,0.38605494505494503,0.2669999999999999,5.261667149329623,19.71,-14.309999999999999
Momentum Per Vol Rank,50,9052,182,0.37969067609368096,0.25,0.5346884666372073,0.3746934644303065,0.5171,2.059262233013494,6.2838,-8.4212
Momentum Per Vol Rank,20,3640,182,0.3570521978021978,0.26,0.5398351648351648,0.3570521978021978,0.73075,2.4686503590680138,6.802,-9.1905
ML Logistic Probability,50,9052,182,0.3345061864781264,0.155,0.5251878038002651,0.3297473105841527,0.08420000000000002,1.7607880080922695,7.5252,-5.7604
Momentum Per Vol Rank,10,1820,182,0.32665384615384613,0.41,0.5576923076923077,0.3266538461538462,0.479,3.053480643419327,10.848,-11.643
5D Momentum Rank,50,9052,182,0.2634533804684048,0.17,0.5178965974370305,0.2590692886061306,0.5457,2.318368019816759,6.0042,-9.511000000000001
Momentum Per Vol Rank,5,910,182,0.2384395604395604,0.345,0.5560439560439561,0.23843956043956036,0.3380000000000001,3.8818982917067273,17.756,-14.238
5D Momentum Rank,10,1820,182,0.2290659340659342,0.15,0.510989010989011,0.22906593406593406,0.4364999999999999,4.264990626642975,12.102,-11.787
Volume Ratio Rank,10,1820,182,0.18136263736263739,0.015,0.5005494505494505,0.18136263736263739,-0.0665,3.0982326828807345,13.84,-11.667
5D Momentum Rank,20,3640,182,0.16986538461538467,0.09,0.5063186813186813,0.16986538461538464,0.5860000000000001,3.190909474738742,8.568000000000001,-9.9745
5D Momentum Rank,5,910,182,0.13085714285714278,-0.11,0.49340659340659343,0.13085714285714278,0.4780000000000001,5.575446330168021,16.464,-15.732
Volume Ratio Rank,5,910,182,-0.023747252747252794,-0.08499999999999999,0.4912087912087912,-0.023747252747252656,-0.18,3.7691150890561067,16.484,-13.124
