strategy,top_n,windows,avg_daily_return,median_daily_return,avg_win_rate,avg_daily_std,avg_worst_day,avg_cumulative_return
Stock vs Sector 20D,3,5,5.215327572410634,3.177512820512821,0.5329036643228183,17.949612549632878,-32.286,169915.6777316054
Relative Strength,3,5,5.204510102933615,2.5116410256410258,0.529863085838182,17.98314494426303,-29.95133333333333,433049.5804218656
20D Momentum,3,5,5.199380144595819,2.5806153846153843,0.528284307335763,17.99382454260924,-29.95133333333333,432069.023973821
Optimized V4 Weights,3,5,4.502440077757125,2.87248717948718,0.5360517532207699,16.04095680621861,-31.78933333333333,270851.7295264622
Momentum V4 Quality Fixed,3,5,4.417821719288666,2.9704497354497357,0.5766283746433902,15.074610877634958,-28.904000000000003,210366.4563301249
20D Momentum,5,5,4.134542908594387,2.391246153846154,0.5211585510666266,13.427528866248291,-25.062,142602.0711517288
Relative Strength,5,5,4.106264355175639,2.407630769230769,0.52178597263893,13.393132576899855,-25.062,141152.70438692233
Current Pre Score,3,5,3.962270774173503,2.8794573643410857,0.5416365753922978,15.416101931146537,-29.674,17245.89789505697
Stock vs Sector 20D,5,5,3.8664779667478952,2.994215384615385,0.5293146111655542,13.065502073760038,-24.1428,75011.16232706278
Optimized V4 Weights,5,5,3.686245861959563,2.625784615384615,0.5382403898975955,12.293691696703135,-25.343200000000003,129950.51351156358
Current Pre Score,5,5,3.621102371228641,2.2507384615384614,0.5434106416483271,12.076880139340602,-24.2976,23228.701869773533
Momentum V4 Quality Fixed,5,5,3.5549998026454204,2.257285714285714,0.5716692515403374,11.48970740047925,-23.849600000000002,37796.62264592987
20D Momentum,10,5,3.3096170160796086,3.0310923076923078,0.5274736293025983,10.040395610306728,-19.6132,28458.84182561763
Relative Strength,10,5,3.2827760628848046,3.100492307692307,0.526688725626649,10.005229670425113,-19.6132,28879.296944643756
Current Pre Score,10,5,2.8913461744115616,2.251292307692308,0.5416637133238489,8.75613226002944,-18.849600000000002,7117.500631406215
Optimized V4 Weights,10,5,2.7911134489763016,2.1931846153846157,0.5584774394256173,8.23368059096866,-17.4508,16861.36351041383
Momentum V4 Quality Fixed,10,5,2.782522947936517,1.591563492063492,0.5613523533171949,8.004194592336427,-17.3502,13195.251102683262
Stock vs Sector 20D,10,5,2.7558206816768656,2.577784615384615,0.5339771271882607,9.10580804858976,-18.678400000000003,9233.447842494916
