window_id,top_n,train_start,train_end,test_start,test_end,train_objective_score,stock_vs_sector_20d_rank_pct,relative_strength_rank_pct,return_20d_rank_pct,momentum_per_vol_20d_rank_pct,volume_ratio_rank_pct,market_regime_rank_pct
1,3,2021-09-10,2023-09-10,2023-09-10,2024-03-10,-0.2609944060591074,0.25,0.0,0.2,0.0,0.35,0.2
1,5,2021-09-10,2023-09-10,2023-09-10,2024-03-10,-0.005232483176728753,0.2,0.0,0.1,0.0,0.5,0.2
1,10,2021-09-10,2023-09-10,2023-09-10,2024-03-10,0.32867594639029263,0.2,0.0,0.15,0.4,0.25,0.0
2,3,2022-03-10,2024-03-10,2024-03-10,2024-09-10,1.1472820895357858,0.2,0.15,0.25,0.0,0.0,0.4
2,5,2022-03-10,2024-03-10,2024-03-10,2024-09-10,1.1276210326860465,0.2,0.1,0.35,0.0,0.0,0.35
2,10,2022-03-10,2024-03-10,2024-03-10,2024-09-10,1.1105008531174236,0.2,0.0,0.5,0.1,0.2,0.0
3,3,2022-09-10,2024-09-10,2024-09-10,2025-03-10,2.141656335304441,0.2,0.15,0.25,0.0,0.0,0.4
3,5,2022-09-10,2024-09-10,2024-09-10,2025-03-10,1.6326510971461647,0.4,0.0,0.35,0.0,0.0,0.25
3,10,2022-09-10,2024-09-10,2024-09-10,2025-03-10,1.6684764862586157,0.25,0.25,0.2,0.0,0.3,0.0
4,3,2023-03-10,2025-03-10,2025-03-10,2025-09-10,5.309326317830848,0.25,0.5,0.0,0.0,0.0,0.25
4,5,2023-03-10,2025-03-10,2025-03-10,2025-09-10,4.20845547064553,0.2,0.4,0.4,0.0,0.0,0.0
4,10,2023-03-10,2025-03-10,2025-03-10,2025-09-10,3.187713499000682,0.2,0.3,0.25,0.0,0.25,0.0
5,3,2023-09-10,2025-09-10,2025-09-10,2026-03-10,5.7744005360213135,0.3,0.3,0.2,0.0,0.0,0.2
5,5,2023-09-10,2025-09-10,2025-09-10,2026-03-10,4.373573690727181,0.2,0.4,0.4,0.0,0.0,0.0
5,10,2023-09-10,2025-09-10,2025-09-10,2026-03-10,3.21526053513371,0.2,0.4,0.3,0.0,0.1,0.0
